"PeriodeDeReference","Geo","Dguid","Infractions","Statistiques","UniteDeMesure","IdentificationDUniteDeMesure","FacteurScalaire","IdentificateurScalaire","Vecteur","Coordonnees","Valeur","Status","Symbole","Termine","Decimales"
"1998","Canada","2016A000011124","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44402292","1.80.1","94819","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44386385","1.80.2","314.42","","","","2"
"1998","Canada","2016A000011124","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44373501","1.80.3","","..","","","2"
"1998","Canada","2016A000011124","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44340823","1.80.4","57072","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44378615","1.80.5","40465","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44345562","1.80.6","16607","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44350537","1.80.7","27438","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44371049","1.80.8","107.90","","","","2"
"1998","Canada","2016A000011124","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44370077","1.80.9","25476","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44411165","1.80.10","110.92","","","","2"
"1998","Canada","2016A000011124","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44393725","1.80.11","1962","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44401276","1.80.12","79.71","","","","2"
"1998","Canada","2016A000011124","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53079987","1.80.13","1091","","","","0"
"1998","Canada","2016A000011124","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53079988","1.80.14","44.32","","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44380207","2.80.1","1635","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44329500","2.80.2","302.82","","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44414176","2.80.3","","..","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44353503","2.80.4","1042","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44393327","2.80.5","863","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44387104","2.80.6","179","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44333179","2.80.7","609","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44403584","2.80.8","131.26","","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44371647","2.80.9","551","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44344723","2.80.10","133.06","","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44417038","2.80.11","58","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44333890","2.80.12","116.29","","","","2"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53081374","2.80.13","7","","","","0"
"1998","Terre-Neuve-et-Labrador [10]","2016A000210","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53081375","2.80.14","14.03","","","","2"
